Height	Angle1	Angle2	Angle3	Angle4	Angle5	Angle6	label
1449.21	93.7099	89.9651	180	179.966	163.338	175.972	2
1475.8	110.801	104.773	180	179.972	165.175	172.429	2
1469.94	110.749	104.663	180	180	166.125	172.454	2
1499.01	116.487	108.382	180	180	171.196	175.473	2
1504.16	119.547	107.736	180	180	171.875	176.082	2
1487.45	112.784	103.15	180	179.972	171.467	175.775	2
1477.01	109.1	102.169	179.966	179.966	171.057	175.55	2
1462.61	107.283	99.6069	179.972	180	172.425	175.098	2
1469.86	110.012	104.006	180	179.966	175.406	176.261	2
1467.14	110.796	103.773	179.966	179.966	176.485	175.208	2
1452.27	111.067	104.776	180	180	175.591	174.016	2
1450.77	110.433	105.472	180	179.966	175.091	174.212	2
1453.67	110.037	105.707	179.972	179.972	174.342	173.466	2
1426.69	98.8454	92.0488	179.966	180	169.123	168.231	2
1410.69	100.964	95.9489	179.972	179.966	167.538	166.983	2
1418.84	106.596	104.266	180	180	166.468	165.717	2
1422.26	107.5	104.942	179.966	180	166.196	165.268	2
1428.66	106.011	103.713	179.972	179.972	166.354	165.413	2
1439.2	106.236	104.446	180	180	167.379	166.586	2
1443.56	107.456	106.007	179.972	180	168.691	168.189	2
1442.69	108.963	107.537	180	180	169.359	169.079	2
1441.85	110.407	109.155	180	180	170.081	170.296	2
1440.65	109.387	106.791	180	180	170.426	170.955	2
1442.04	108.406	105.029	179.966	180	170.537	171.174	2
1448.84	107.596	103.736	179.972	180	170.057	169.97	2
1449.64	107.331	103.996	180	179.972	170.034	169.566	2
1451.91	108.525	104.992	179.966	180	171.603	171.357	2
1469.69	108.738	104.992	180	180	171.87	171.68	2
1471.75	108.293	104.558	179.972	179.972	172.323	172.16	2
1461.31	106.436	101.985	179.972	179.972	176.771	176.002	2
1468.33	106.351	102	180	179.956	176.884	175.49	2
1468.73	105.557	101.169	179.956	180	177.077	176.576	2
1472.13	104.953	98.9632	180	180	177.211	177.641	2
1481.31	108.473	103.763	179.966	180	174.094	176.843	2
1481.67	110.31	108.634	180	179.966	170.26	173.615	2
1478.16	109.377	105.85	180	179.972	169.167	173.468	2
1485.11	109.09	107.154	180	180	168.401	173.235	2
1474.74	106.874	106.707	179.972	179.972	167.754	173.19	2
1464.26	102.894	106.897	179.972	179.972	165.892	172.735	2
1461.8	100.123	105.737	180	180	165.446	173.22	2
1458.61	94.7638	100.857	180	180	165.604	174.749	2
1446.68	97.1153	92.9801	179.966	179.966	165.271	175.301	2
1428.34	90.7653	88.3043	179.966	180	164.889	174.668	2
1409.91	84.9403	86.5255	179.956	179.956	162.367	174.337	2
1426.52	84.2219	93.7751	179.972	179.972	163.409	175.612	2
1430.44	81.7947	92.8037	179.972	179.972	166.762	177.096	2
1415.42	86.4684	85.647	179.972	179.972	168.9	176.154	2
1419.9	92.7456	74.6945	180	179.972	168.628	176.252	2
1447.38	98.8314	107.686	180	180	168.479	174.677	2
1475	88.7898	130.274	180	179.972	172.56	172.68	2
1422.95	90.4947	100.13	179.972	179.972	175.207	159.439	2
1394.59	91.5135	100.814	180	180	173.933	158.527	2
1365.37	92.0253	94.285	180	180	171.92	156.959	2
1361.21	78.6514	96.8755	180	180	170.335	155.023	2
1342.41	79.9065	93.267	179.972	179.972	169.198	153.598	2
1372.69	104.568	102.344	179.972	179.972	169.634	154.793	2
1408.36	93.5131	120.695	180	180	169.448	160.375	2
1403.99	87.0686	126.793	180	179.972	167.426	157.217	2
1400.59	93.0303	138.689	180	180	165.776	156.469	2
1359.33	97.3219	90.891	180	180	164.56	146.789	2
1438.21	109.216	129.541	180	180	165.028	154.338	2
1440.41	106.713	127.793	180	180	165.285	155.321	2
1412.61	114.069	132.486	180	180	163.61	157.46	2
1398.56	115.352	133.125	180	180	164.119	158.498	2
1387.17	120.879	139.723	180	180	164.872	160.005	2
1373.71	109.178	122.837	179.972	180	167.798	158.539	2
1373.71	104.034	113.914	179.972	179.972	170.418	158.536	2
1378.96	100.916	107.223	180	180	167.549	151.324	2
1399.68	119.483	125.163	179.972	179.972	161.031	149.333	2
1393.25	120.637	127.133	180	180	154.46	141.258	2
1380.62	121.088	128.054	180	180	149.781	135.515	2
1363.18	121.914	129.356	180	180	144.143	128.604	2
1355.02	119.373	127.753	179.972	179.972	140.259	122.858	2
1362.34	106.441	115.758	179.972	180	143.081	123.363	2
1368.9	100.257	108.899	180	180	148.614	130	2
1359.44	103.468	112.503	180	179.972	145.724	126.582	2
1366.22	101.607	110.768	180	180	148.773	130.925	2
1371.62	102.122	111.522	179.972	180	151.59	135.186	2
1382.28	105.75	112.92	180	179.972	157.988	144.438	2
1361.09	82.8918	123.267	180	180	157.501	139.853	2
1359.24	84.5318	125.595	180	180	157.544	140.13	2
1342.69	97.8925	136.08	180	180	150.328	134.299	2
1340.79	100.734	125.693	180	179.972	145.356	125.848	2
1341.95	99.3495	120.603	180	180	152.67	136.413	2
1342.81	90.7096	119.126	180	180	158.436	145.893	2
1355.03	87.3501	86.5676	179.972	180	166.075	166.879	2
1352.69	88.7603	88.3784	180	179.972	167.042	168.497	2
1353.65	89.5971	88.7688	180	179.972	167.065	169.469	2
1369.07	95.5671	91.9885	179.966	179.972	167.01	170.827	2
1388.2	103.399	101.504	179.972	180	167.428	169.891	2
1408.98	110.461	100.841	179.972	179.972	169.423	172.494	2
1417.87	118.218	107.706	179.972	180	169.423	173.148	2
1425.3	122.768	113.507	180	179.966	169.407	173.354	2
1432.83	126.274	117.284	180	180	169.006	173.046	2
1432.85	125.618	116.932	180	180	168.429	172.328	2
1433.38	125.631	116.007	179.972	179.972	168.584	172.514	2
1434.02	125.61	115.853	180	180	168.882	172.811	2
1434.99	126.16	115.623	180	180	168.742	172.687	2
1421.98	122.043	110.004	180	180	167.991	171.721	2
1413.87	116.932	105.154	180	180	169.032	172.14	2
1405.95	108.667	99.3915	179.966	179.966	169.711	170.879	2
1402.4	105.505	97.761	180	180	169.51	170.685	2
1398.26	103.11	96.4809	180	180	169.093	170.338	2
1388.04	100.87	99.3959	179.966	179.966	165.595	167.472	2
1380.49	100.36	95.3795	179.972	180	162.305	165.258	2
1363.44	99.4366	93.0945	179.972	179.972	158.622	165.908	2
1358.85	101.206	90.6558	179.972	179.966	157.093	164.027	2
1353.37	98.92	88.4946	180	179.966	155.848	160.526	2
1345.55	84.2479	94.8395	180	180	157.571	165.566	2
1336.76	77.25	83.7827	180	180	164.81	171.334	2
1327.39	83.2382	86.9638	180	180	172.014	167.023	2
1277.98	86.7106	100.315	180	180	158.885	140.201	2
1223.71	99.9092	126.107	179.972	179.972	152.968	139.851	2
1213.62	93.7094	124.691	179.972	179.972	156.118	145.896	2
1207.41	99.3875	121.778	180	180	157.276	147.524	2
1201.56	94.6114	118.196	179.966	180	156.754	144.132	2
1268.9	84.0813	110.348	179.972	179.972	160.677	146.653	2
1349.21	94.5233	115.236	180	180	169.966	159.315	2
1316.05	69.2467	86.0179	179.972	180	169.833	163.032	2
